www.agrometeorologia.cl,Unnamed: 1,Unnamed: 2
Red Agrometeorológica de INIA,,
Generado el 02-09-2026 22:41:22,,
"La Platina, La Pintana",,
,,
Tiempo UTC-4,Temp. de Suelo Bajo 10cm Máxima ºC,Temp. de Suelo Bajo 10cm Máxima % de datos 
01-07-2026,9.2,100
02-07-2026,8.7,100
03-07-2026,8.5,100
04-07-2026,7,100
05-07-2026,9.9,100
06-07-2026,8.7,100
07-07-2026,10.1,100
08-07-2026,9.9,100
09-07-2026,9.7,100
10-07-2026,11.6,100
11-07-2026,13.3,100
12-07-2026,13.7,100
13-07-2026,13.5,100
14-07-2026,11.5,100
15-07-2026,10.7,100
16-07-2026,10.3,100
17-07-2026,9.6,100
18-07-2026,11.9,100
19-07-2026,9.6,100
20-07-2026,9.9,100
21-07-2026,9.3,100
22-07-2026,10.1,100
23-07-2026,10.5,100
24-07-2026,12.5,100
25-07-2026,11.5,100
26-07-2026,13.5,100
27-07-2026,14.4,100
28-07-2026,13,100
29-07-2026,12.1,100
30-07-2026,14.9,100
31-07-2026,12,100
01-08-2026,9.9,100
02-08-2026,9.9,100
03-08-2026,13.1,100
04-08-2026,13.2,100
05-08-2026,13,100
06-08-2026,14.6,100
07-08-2026,13.3,100
08-08-2026,12.8,100
09-08-2026,12.7,100
10-08-2026,9.8,100
11-08-2026,10.3,100
12-08-2026,13.2,100
13-08-2026,11.9,100
14-08-2026,14,100
15-08-2026,12.4,100
16-08-2026,13.4,100
17-08-2026,14.9,100
18-08-2026,15.5,100
19-08-2026,15.6,100
20-08-2026,15.4,100
21-08-2026,16.5,100
22-08-2026,17.4,100
23-08-2026,16.8,100
24-08-2026,14.5,100
25-08-2026,13.5,100
26-08-2026,12.6,100
27-08-2026,14.5,100
28-08-2026,16.2,100
29-08-2026,16.8,100
30-08-2026,16.4,100
31-08-2026,17.4,100
01-09-2026,17.8,100
02-09-2026,18.6,93
,,
,,
"El uso de los datos en publicaciones debe señalar la fuente de los datos y que es una colaboración entre INIA y las instituciones que mantienen convenio con INIA. Adicionalmente, se solicita colocar en un lugar visible el logo de la red agrometeorológica de INIA.",,
Descargar logo desde: https://agrometeorologia.cl/assets/img/agrometeorologia-logo.png,,
