www.agrometeorologia.cl,Unnamed: 1,Unnamed: 2
Red Agrometeorológica de INIA,,
Generado el 02-09-2026 22:41:21,,
"La Platina, La Pintana",,
,,
Tiempo UTC-4,Temp. de Suelo Bajo 10cm Mínima ºC,Temp. de Suelo Bajo 10cm Mínima % de datos 
01-07-2026,4.2,100
02-07-2026,3.8,100
03-07-2026,3.6,100
04-07-2026,3.5,100
05-07-2026,4.3,100
06-07-2026,3.6,100
07-07-2026,4.2,100
08-07-2026,7,100
09-07-2026,8.2,100
10-07-2026,8.7,100
11-07-2026,7,100
12-07-2026,7.7,100
13-07-2026,7.9,100
14-07-2026,9,100
15-07-2026,9.3,100
16-07-2026,9.7,100
17-07-2026,8.9,100
18-07-2026,8.4,100
19-07-2026,6,100
20-07-2026,8,100
21-07-2026,7.8,100
22-07-2026,5.6,100
23-07-2026,8.7,100
24-07-2026,8.1,100
25-07-2026,10.6,100
26-07-2026,9.8,100
27-07-2026,10.8,100
28-07-2026,11.6,100
29-07-2026,10.8,100
30-07-2026,10.3,100
31-07-2026,10,100
01-08-2026,7.1,100
02-08-2026,8.7,100
03-08-2026,9.2,100
04-08-2026,10.6,100
05-08-2026,10.4,100
06-08-2026,9.6,100
07-08-2026,9.8,100
08-08-2026,9.5,100
09-08-2026,6.7,100
10-08-2026,7.9,100
11-08-2026,7.5,100
12-08-2026,6.8,100
13-08-2026,8.1,100
14-08-2026,10.2,100
15-08-2026,10,100
16-08-2026,8.1,100
17-08-2026,9.9,100
18-08-2026,9,100
19-08-2026,9.2,100
20-08-2026,9.5,100
21-08-2026,9.2,100
22-08-2026,10.9,100
23-08-2026,11.3,100
24-08-2026,12.6,100
25-08-2026,12.6,100
26-08-2026,11.4,100
27-08-2026,10.1,100
28-08-2026,10.6,100
29-08-2026,10.7,100
30-08-2026,10.6,100
31-08-2026,12.4,100
01-09-2026,12,100
02-09-2026,13.7,93
,,
,,
"El uso de los datos en publicaciones debe señalar la fuente de los datos y que es una colaboración entre INIA y las instituciones que mantienen convenio con INIA. Adicionalmente, se solicita colocar en un lugar visible el logo de la red agrometeorológica de INIA.",,
Descargar logo desde: https://agrometeorologia.cl/assets/img/agrometeorologia-logo.png,,
