timestamp,variable,unit,value
2026-08-08 12:25:00,indoor.temperature,ºF,56.5
2026-08-08 12:25:00,pressure.relative,inHg,28.2
2026-08-08 12:25:00,soil_ch1.ad,,270.0
2026-08-08 12:25:00,indoor.feels_like,ºF,56.5
2026-08-08 12:25:00,soil_ch1.soilmoisture,%,58.0
2026-08-08 12:25:00,indoor.humidity,%,51.0
2026-08-08 12:25:00,temp_ch1.temperature,ºF,54.5
2026-08-08 12:25:00,indoor.dew_point,ºF,38.6
2026-08-08 12:25:00,pressure.absolute,inHg,28.2
2026-08-08 12:25:00,indoor.app_tempin,ºF,54.0
2026-08-08 12:25:00,soil_ch2.soilmoisture,%,44.0
2026-08-08 12:25:00,soil_ch2.ad,,221.0
2026-08-08 12:25:00,temp_ch2.temperature,ºF,53.8
2026-08-08 12:30:00,indoor.app_tempin,ºF,54.0
2026-08-08 12:30:00,temp_ch1.temperature,ºF,54.5
2026-08-08 12:30:00,soil_ch2.soilmoisture,%,44.0
2026-08-08 12:30:00,soil_ch1.ad,,270.0
2026-08-08 12:30:00,soil_ch2.ad,,221.0
2026-08-08 12:30:00,pressure.relative,inHg,28.2
2026-08-08 12:30:00,indoor.humidity,%,51.0
2026-08-08 12:30:00,indoor.dew_point,ºF,38.6
2026-08-08 12:30:00,indoor.feels_like,ºF,56.5
2026-08-08 12:30:00,indoor.temperature,ºF,56.5
2026-08-08 12:30:00,temp_ch2.temperature,ºF,53.8
2026-08-08 12:30:00,pressure.absolute,inHg,28.2
2026-08-08 12:30:00,soil_ch1.soilmoisture,%,58.0
2026-08-08 12:35:00,temp_ch2.temperature,ºF,53.8
2026-08-08 12:35:00,indoor.temperature,ºF,56.5
2026-08-08 12:35:00,soil_ch2.ad,,221.0
2026-08-08 12:35:00,indoor.feels_like,ºF,56.5
2026-08-08 12:35:00,soil_ch2.soilmoisture,%,44.0
2026-08-08 12:35:00,indoor.app_tempin,ºF,54.0
2026-08-08 12:35:00,indoor.dew_point,ºF,38.6
2026-08-08 12:35:00,temp_ch1.temperature,ºF,54.5
2026-08-08 12:35:00,soil_ch1.soilmoisture,%,58.0
2026-08-08 12:35:00,pressure.absolute,inHg,28.2
2026-08-08 12:35:00,soil_ch1.ad,,270.0
2026-08-08 12:35:00,indoor.humidity,%,51.0
2026-08-08 12:35:00,pressure.relative,inHg,28.2
2026-08-08 12:40:00,temp_ch2.temperature,ºF,53.8
2026-08-08 12:40:00,soil_ch2.ad,,221.0
2026-08-08 12:40:00,indoor.humidity,%,51.0
2026-08-08 12:40:00,indoor.feels_like,ºF,56.7
2026-08-08 12:40:00,soil_ch2.soilmoisture,%,44.0
2026-08-08 12:40:00,indoor.temperature,ºF,56.7
2026-08-08 12:40:00,soil_ch1.soilmoisture,%,58.0
2026-08-08 12:40:00,indoor.app_tempin,ºF,54.2
2026-08-08 12:40:00,indoor.dew_point,ºF,38.8
2026-08-08 12:40:00,soil_ch1.ad,,270.0
2026-08-08 12:40:00,pressure.absolute,inHg,28.2
2026-08-08 12:40:00,pressure.relative,inHg,28.2
2026-08-08 12:40:00,temp_ch1.temperature,ºF,54.5
2026-08-08 12:45:00,soil_ch1.ad,,270.0
2026-08-08 12:45:00,temp_ch2.temperature,ºF,53.8
2026-08-08 12:45:00,soil_ch2.ad,,221.0
2026-08-08 12:45:00,indoor.app_tempin,ºF,54.2
2026-08-08 12:45:00,temp_ch1.temperature,ºF,54.5
2026-08-08 12:45:00,indoor.feels_like,ºF,56.7
2026-08-08 12:45:00,soil_ch2.soilmoisture,%,44.0
2026-08-08 12:45:00,soil_ch1.soilmoisture,%,58.0
2026-08-08 12:45:00,indoor.temperature,ºF,56.7
2026-08-08 12:45:00,pressure.relative,inHg,28.2
2026-08-08 12:45:00,indoor.dew_point,ºF,38.8
2026-08-08 12:45:00,indoor.humidity,%,51.0
2026-08-08 12:45:00,pressure.absolute,inHg,28.2
2026-08-08 12:50:00,soil_ch2.soilmoisture,%,44.0
2026-08-08 12:50:00,pressure.absolute,inHg,28.2
2026-08-08 12:50:00,soil_ch1.soilmoisture,%,58.0
2026-08-08 12:50:00,indoor.app_tempin,ºF,54.5
2026-08-08 12:50:00,soil_ch1.ad,,270.0
2026-08-08 12:50:00,pressure.relative,inHg,28.2
2026-08-08 12:50:00,indoor.feels_like,ºF,56.9
2026-08-08 12:50:00,temp_ch2.temperature,ºF,53.7
2026-08-08 12:50:00,temp_ch1.temperature,ºF,54.4
2026-08-08 12:50:00,soil_ch2.ad,,221.0
2026-08-08 12:50:00,indoor.temperature,ºF,56.9
2026-08-08 12:50:00,indoor.humidity,%,51.0
2026-08-08 12:50:00,indoor.dew_point,ºF,39.0
2026-08-08 12:55:00,soil_ch1.ad,,270.0
2026-08-08 12:55:00,temp_ch1.temperature,ºF,54.4
2026-08-08 12:55:00,soil_ch1.soilmoisture,%,58.0
2026-08-08 12:55:00,temp_ch2.temperature,ºF,53.7
2026-08-08 12:55:00,indoor.app_tempin,ºF,54.7
2026-08-08 12:55:00,soil_ch2.soilmoisture,%,44.0
2026-08-08 12:55:00,soil_ch2.ad,,221.0
2026-08-08 12:55:00,pressure.relative,inHg,28.2
2026-08-08 12:55:00,indoor.temperature,ºF,57.2
2026-08-08 12:55:00,pressure.absolute,inHg,28.2
2026-08-08 12:55:00,indoor.humidity,%,50.0
2026-08-08 12:55:00,indoor.feels_like,ºF,57.2
2026-08-08 12:55:00,indoor.dew_point,ºF,38.8
2026-08-08 13:00:00,indoor.humidity,%,50.0
2026-08-08 13:00:00,soil_ch1.ad,,270.0
2026-08-08 13:00:00,indoor.app_tempin,ºF,54.9
